Time,Channel A,Channel B
(s),(mV),(V)

0.01207201,3.03659200,0.00036622
0.01214344,3.86059100,-0.00143437
0.01221487,1.81585100,-0.00250252
0.01228630,1.05288900,-0.00317393
0.01235774,6.71407200,0.00088504
0.01242917,3.70799900,-0.00091556
0.01250060,3.67748000,0.00134281
0.01257203,4.28785000,-0.00085452
0.01264346,0.13733330,-0.00054933
0.01271490,1.51066600,0.00073244
0.01278633,4.44044300,0.00036622
0.01285776,6.40888600,0.00170904
0.01292919,5.72222000,-0.00122074
0.01300062,5.41703500,-0.00091556
0.01307206,4.24207300,0.00314341
0.01314349,4.51673900,-0.00280770
0.01321492,4.31836900,-0.00128178
0.01328635,4.51673900,-0.00024415
0.01335778,2.76192500,-0.00302133
0.01342922,3.60118400,0.00381481
0.01350065,2.68562900,-0.00128178
0.01357208,3.70799900,-0.00152593
0.01364351,2.83822100,-0.00039674
0.01371494,3.60118400,-0.00408948
0.01378638,4.51673900,-0.00198370
0.01385781,4.85244300,0.00103763
0.01392924,3.90636900,0.00082400
0.01400067,5.56962800,0.00119022
0.01407210,6.56147900,-0.00158696
0.01414354,5.87481300,-0.00076296
0.01421497,3.83007300,-0.00115970
0.01428640,7.43125700,-0.00054933
0.01435783,3.14340600,-0.00234993
0.01442926,2.42622100,-0.00198370
0.01450070,4.69985000,-0.00482192
0.01457213,6.36310900,0.00088504
0.01464356,4.77614600,-0.00424207
0.01471499,6.17999800,-0.00271615
0.01478642,5.08133200,0.00170904
0.01485786,6.56147900,0.00057985
0.01492929,5.61540600,-0.00173956
0.01500072,4.92873900,-0.00009156
0.01507215,5.99688700,-0.00173956
0.01514358,1.99896200,0.00082400
0.01521502,5.23392400,0.00170904
0.01528645,3.47911000,-0.00219733
0.01535788,7.47703500,-0.00234993
0.01542931,5.38651700,-0.00024415
0.01550074,4.80666500,-0.00106815
0.01557218,3.63170200,-0.00183111
0.01564361,7.62962700,0.00012207
0.01571504,7.66014500,-0.00189215
0.01578647,6.97347900,-0.00076296
0.01585790,6.28681300,0.00268563
0.01592934,5.41703500,-0.00122074
0.01600077,5.26444200,0.00180059
0.01607220,4.51673900,-0.00115970
0.01614363,4.62355400,-0.00045778
0.01621506,4.95925800,-0.00091556
0.01628650,8.60621900,-0.00378430
0.01635793,7.24814600,-0.00439467
0.01642936,6.33259000,0.00000000
0.01650079,5.18814600,-0.00183111
0.01657222,4.88296100,0.00036622
0.01664366,5.34073900,0.00170904
0.01671509,6.51570100,-0.00173956
0.01678652,5.41703500,-0.00228889
0.01685795,3.63170200,-0.00045778
0.01692938,6.82088700,-0.00070193
0.01700082,7.09555300,0.00067141
0.01707225,5.99688700,-0.00115970
0.01714368,8.65199800,-0.00030519
0.01721511,6.25629400,-0.00219733
0.01728654,4.73036900,-0.00234993
0.01735798,5.76799800,-0.00091556
0.01742941,7.99584900,-0.00015259
0.01750084,6.86666400,-0.00415052
0.01757227,3.11288800,-0.00228889
0.01764370,7.09555300,-0.00070193
0.01771514,6.71407200,-0.00152593
0.01778657,7.43125700,-0.00122074
0.01785800,6.97347900,-0.00228889
0.01792943,3.63170200,0.00112919
0.01800086,5.87481300,-0.00198370
0.01807230,5.76799800,-0.00439467
0.01814373,4.80666500,-0.00015259
0.01821516,6.97347900,0.00006104
0.01828659,6.22577600,-0.00009156
0.01835802,7.88903400,-0.00152593
0.01842946,3.67748000,-0.00106815
0.01850089,6.86666400,-0.00271615
0.01857232,5.69170200,-0.00317393
0.01864375,3.06711000,-0.00122074
0.01871518,7.20236800,-0.00054933
0.01878662,4.13525800,-0.00311289
0.01885805,6.33259000,0.00097659
0.01892948,4.47096200,0.00051881
0.01900091,6.56147900,-0.00128178
0.01907234,2.04474000,-0.00213630
0.01914378,6.97347900,-0.00030519
0.01921521,5.87481300,-0.00076296
0.01928664,4.73036900,0.00082400
0.01935807,6.36310900,-0.00030519
0.01942950,5.53910900,-0.00311289
0.01950094,4.31836900,-0.00167852
0.01957237,5.08133200,0.00036622
0.01964380,7.04977500,-0.00234993
0.01971523,5.64592400,-0.00054933
