Time,Channel A,Channel B
(s),(mV),(V)

0.00000000,10.05585000,0.00067141
0.00007143,4.95925800,-0.00054933
0.00014286,5.00503500,-0.00085452
0.00021430,6.48518300,0.00021363
0.00028573,7.40073800,-0.00085452
0.00035716,3.37229500,0.00186163
0.00042859,6.56147900,-0.00015259
0.00050002,8.07214500,0.00103763
0.00057146,5.87481300,-0.00189215
0.00064289,6.22577600,0.00000000
0.00071432,4.54725700,-0.00341807
0.00078575,7.55333000,-0.00219733
0.00085718,8.07214500,-0.00100711
0.00092862,6.33259000,-0.00332652
0.00100005,5.92059000,0.00082400
0.00107148,6.40888600,-0.00122074
0.00114291,8.65199800,0.00097659
0.00121434,6.82088700,-0.00198370
0.00128578,6.28681300,0.00134281
0.00135721,7.27866400,-0.00167852
0.00142864,7.58384900,-0.00234993
0.00150007,7.58384900,0.00051881
0.00157150,7.96533100,0.00238044
0.00164294,5.92059000,-0.00347911
0.00171437,5.87481300,-0.00128178
0.00178580,7.70592300,-0.00143437
0.00185723,7.91955300,-0.00183111
0.00192866,3.60118400,-0.00045778
0.00200010,3.32651700,-0.00326548
0.00207153,8.88088600,0.00067141
0.00214296,6.66829400,-0.00076296
0.00221439,3.70799900,0.00277718
0.00228582,9.93377500,-0.00115970
0.00235726,7.35496000,0.00283822
0.00242869,2.83822100,0.00119022
0.00250012,4.88296100,-0.00173956
0.00257155,5.99688700,-0.00054933
0.00264298,5.26444200,-0.00415052
0.00271442,3.98266500,-0.00183111
0.00278585,4.13525800,-0.00183111
0.00285728,8.72829300,-0.00189215
0.00292871,7.58384900,0.00027467
0.00300014,9.36918200,-0.00183111
0.00307158,3.78429500,-0.00189215
0.00314301,7.47703500,0.00021363
0.00321444,4.73036900,0.00088504
0.00328587,8.52992300,0.00262459
0.00335730,8.91140500,0.00088504
0.00342874,7.88903400,0.00112919
0.00350017,6.66829400,0.00021363
0.00357160,8.80458900,-0.00265511
0.00364303,6.66829400,0.00119022
0.00371446,4.51673900,0.00006104
0.00378590,9.10977400,0.00057985
0.00385733,6.82088700,0.00000000
0.00392876,8.52992300,-0.00354015
0.00400019,9.75066400,0.00012207
0.00407162,4.51673900,-0.00241096
0.00414306,5.53910900,-0.00045778
0.00421449,3.47911000,0.00195319
0.00428592,6.02740500,-0.00183111
0.00435735,6.02740500,-0.00115970
0.00442878,5.72222000,0.00006104
0.00450022,5.49333100,0.00051881
0.00457165,6.22577600,-0.00100711
0.00464308,9.03347800,-0.00030519
0.00471451,8.30103400,-0.00030519
0.00478594,7.50755300,-0.00173956
0.00485738,4.77614600,0.00164800
0.00492881,3.29599900,-0.00024415
0.00500024,7.35496000,-0.00024415
0.00507167,6.79036800,-0.00213630
0.00514310,4.66933200,-0.00167852
