Time,Channel A,Channel B
(s),(mV),(V)

0.00000000,11.15452000,-0.00045778
0.00007143,9.62859000,-0.00183111
0.00014286,9.26236700,-0.00137333
0.00021430,11.00192000,-0.00354015
0.00028573,7.62962700,-0.00024415
0.00035716,12.71096000,0.00036622
0.00042859,8.45362700,-0.00061037
0.00050002,9.82696000,0.00000000
0.00057146,6.07318300,-0.00085452
0.00064289,11.33763000,-0.00234993
0.00071432,8.14844100,-0.00354015
0.00078575,8.11792300,-0.00424207
0.00085718,9.55229300,-0.00250252
0.00092862,8.88088600,0.00186163
0.00100005,7.73644200,-0.00256356
0.00107148,7.99584900,-0.00213630
0.00114291,8.65199800,-0.00115970
0.00121434,11.00192000,-0.00521867
0.00128578,10.66622000,-0.00369274
0.00135721,6.97347900,-0.00256356
0.00142864,7.81273800,-0.00054933
0.00150007,8.19421900,-0.00228889
0.00157150,7.27866400,-0.00091556
0.00164294,10.97140000,-0.00039674
0.00171437,10.16266000,-0.00091556
0.00178580,11.41392000,-0.00115970
0.00185723,6.07318300,0.00088504
0.00192866,8.45362700,0.00268563
0.00200010,9.36918200,-0.00280770
0.00207153,11.79540000,-0.00024415
0.00214296,11.84118000,-0.00347911
0.00221439,10.16266000,-0.00219733
0.00228582,10.58992000,0.00097659
0.00235726,12.32948000,0.00006104
0.00242869,9.97955200,-0.00302133
0.00250012,7.55333000,-0.00045778
0.00257155,10.51363000,0.00073244
0.00264298,10.43733000,0.00073244
0.00271442,7.96533100,-0.00311289
0.00278585,10.46785000,0.00021363
0.00285728,10.39155000,-0.00228889
0.00292871,9.93377500,-0.00091556
0.00300014,8.49940400,-0.00189215
0.00307158,8.80458900,-0.00173956
0.00314301,12.14637000,0.00027467
0.00321444,11.56651000,-0.00219733
0.00328587,10.66622000,-0.00054933
0.00335730,11.61229000,0.00042726
0.00342874,10.16266000,-0.00354015
0.00350017,9.78118100,0.00000000
0.00357160,10.39155000,-0.00045778
0.00364303,9.03347800,-0.00061037
0.00371446,10.01007000,-0.00100711
0.00378590,11.71911000,0.00036622
0.00385733,12.45155000,-0.00271615
0.00392876,11.71911000,0.00073244
0.00400019,9.33866300,0.00082400
0.00407162,10.23896000,0.00195319
0.00414306,9.14029300,-0.00213630
0.00421449,10.31526000,-0.00054933
0.00428592,10.13214000,-0.00143437
0.00435735,6.43940500,0.00299081
0.00442878,11.61229000,0.00299081
0.00450022,11.15452000,0.00097659
0.00457165,13.01614000,0.00073244
0.00464308,11.38340000,-0.00091556
0.00471451,11.49022000,-0.00408948
0.00478594,12.52785000,-0.00137333
0.00485738,11.53600000,0.00012207
0.00492881,9.44547800,0.00164800
0.00500024,7.81273800,-0.00030519
0.00507167,12.10059000,-0.00173956
